SpeciesAuthor,lon_dd,lat_dd,damping_ratio
Heliconia_acuminata,-60,-2.5,1.6505788994
Heliconia_acuminata,-60,-2.5,1.3694052728
Heliconia_acuminata,-60,-2.5,1.6292964775
Heliconia_acuminata,-60,-2.5,1.5227175703
Heliconia_acuminata,-60,-2.5,1.5033031118
Heliconia_acuminata,-60,-2.5,1.6027141076
Himantoglossum_hircinum,11.5930555556,50.9461111111,2.145826224
Horkelia_congesta,-123.2958333333,44.1416666667,2.6219218905
Hyparrhenia_diplandra,-5.0333333333,6.2166666667,2.2486531987
Hypericum_cumulicola,-81.35,27.1666666667,2.5065511452
Hypericum_cumulicola,-81.35,27.1666666667,2.4463548959
Hypericum_cumulicola,-81.35,27.1666666667,1.3623625833
Hypericum_cumulicola,-81.35,27.1666666667,2.1081779166
Ipomopsis_tenuituba,-107.0666666667,38.95,1.0532911954
Lepanthes_eltoroensis,-65.7833333333,18.3,1.04289757
Lepanthes_eltoroensis,-65.7833333333,18.3,1.0303296152
Lepanthes_rubripetala,-65.8166666667,18.35,1.1750688585
Lepanthes_rubripetala,-65.8166666667,18.35,1.1582975777
Lepanthes_rubripetala,-65.8166666667,18.35,1.1730816679
Lepanthes_rupestris,-65.8166666667,18.35,1.2849896973
Lepanthes_rupestris,-65.8166666667,18.35,1.3081468195
Lepanthes_rupestris,-65.8166666667,18.35,1.2833385101
Lepanthes_rupestris,-65.8166666667,18.3166666667,1.2973565679
Lepanthes_rupestris,-65.8166666667,18.3166666667,1.2470086023
Lepanthes_rupestris,-65.8166666667,18.3166666667,1.2842782416
Lepanthes_rupestris,-65.8166666667,18.3166666667,1.2882869997
Lepidium_davisii,-115.8666666667,43.05,2.7524428095
Lepidium_davisii,-115.8666666667,43.05,3.4787217988
Lepidium_davisii,-115.8666666667,43.05,18.175407582
Lepidium_davisii,-115.8666666667,43.05,5.3026515594
Lepidium_davisii,-115.8666666667,43.05,3.7107749672
Lepidium_davisii,-115.8666666667,43.05,5.9167148223
Lepidium_davisii,-115.8666666667,43.05,4.2175007596
Lepidium_davisii,-115.8666666667,43.05,19.6377161238
Lepidium_davisii,-115.8666666667,43.05,48.0588235294
Lepidium_davisii,-115.8666666667,43.05,3.5700260832
Liatris_scariosa,-87.9,41.5166666667,1.8023877238
Liatris_scariosa,-87.9,41.5166666667,3.1898489838
Liatris_scariosa,-87.9,41.5166666667,1.9934372436
